"row_id","POLVIEWS_TRUE","pred_var","pred_narr","var_wrong","narr_wrong","case_type","bias_var","bias_narr"
1,0,1,1,TRUE,TRUE,"Both Wrong","Too Conservative","Too Conservative"
2,0,1,0,TRUE,FALSE,"Only Variable Model Wrong","Too Conservative","Correct"
3,1,1,0,FALSE,TRUE,"Only Narrative Model Wrong","Correct","Too Liberal"
4,0,1,0,TRUE,FALSE,"Only Variable Model Wrong","Too Conservative","Correct"
5,0,0,0,FALSE,FALSE,"Both Correct","Correct","Correct"
6,0,1,1,TRUE,TRUE,"Both Wrong","Too Conservative","Too Conservative"
7,1,1,0,FALSE,TRUE,"Only Narrative Model Wrong","Correct","Too Liberal"
8,0,1,0,TRUE,FALSE,"Only Variable Model Wrong","Too Conservative","Correct"
9,0,1,1,TRUE,TRUE,"Both Wrong","Too Conservative","Too Conservative"
10,1,1,1,FALSE,FALSE,"Both Correct","Correct","Correct"
11,0,1,0,TRUE,FALSE,"Only Variable Model Wrong","Too Conservative","Correct"
12,0,1,0,TRUE,FALSE,"Only Variable Model Wrong","Too Conservative","Correct"
13,0,1,1,TRUE,TRUE,"Both Wrong","Too Conservative","Too Conservative"
14,0,1,0,TRUE,FALSE,"Only Variable Model Wrong","Too Conservative","Correct"
15,0,1,1,TRUE,TRUE,"Both Wrong","Too Conservative","Too Conservative"
16,1,0,0,TRUE,TRUE,"Both Wrong","Too Liberal","Too Liberal"
17,0,1,0,TRUE,FALSE,"Only Variable Model Wrong","Too Conservative","Correct"
18,0,1,0,TRUE,FALSE,"Only Variable Model Wrong","Too Conservative","Correct"
19,0,1,1,TRUE,TRUE,"Both Wrong","Too Conservative","Too Conservative"
20,0,1,1,TRUE,TRUE,"Both Wrong","Too Conservative","Too Conservative"
21,1,1,0,FALSE,TRUE,"Only Narrative Model Wrong","Correct","Too Liberal"
22,0,1,1,TRUE,TRUE,"Both Wrong","Too Conservative","Too Conservative"
23,0,1,1,TRUE,TRUE,"Both Wrong","Too Conservative","Too Conservative"
24,0,1,0,TRUE,FALSE,"Only Variable Model Wrong","Too Conservative","Correct"
25,0,1,1,TRUE,TRUE,"Both Wrong","Too Conservative","Too Conservative"
26,0,1,0,TRUE,FALSE,"Only Variable Model Wrong","Too Conservative","Correct"
27,1,1,0,FALSE,TRUE,"Only Narrative Model Wrong","Correct","Too Liberal"
28,1,1,1,FALSE,FALSE,"Both Correct","Correct","Correct"
29,0,1,1,TRUE,TRUE,"Both Wrong","Too Conservative","Too Conservative"
30,0,1,1,TRUE,TRUE,"Both Wrong","Too Conservative","Too Conservative"
